Year,Temperature
1951,10.613427995391705
1952,11.255169447534298
1953,11.861376920122886
1954,11.839628456221199
1955,10.931689260112647
1956,11.293027190705722
1957,11.128493727598565
1958,11.063967741935485
1959,11.16258634152586
1960,10.792757137560251
1961,11.03009056579621
1962,11.050598566308244
1963,11.244283346134154
1964,10.921910332468174
1965,10.928766385048641
1966,10.82102944188428
1967,10.970133512544804
1968,10.726612192559635
1969,10.82738728878648
1970,10.886505696364567
1971,10.913137032770097
1972,10.752493109627983
1973,11.263639592933947
1974,11.250443228366615
1975,10.826447452636968
1976,10.809357866765543
1977,11.410490271377368
1978,10.572682155657962
1979,10.484912442396313
1980,11.31727935360277
1981,11.726077188940094
1982,10.738831413210447
1983,11.036093637992833
1984,11.090861234705228
1985,10.714959357398874
1986,11.835993727598565
1987,11.842352342549923
1988,11.453485354097147
1989,11.010957757296467
1990,11.94376280081925
1991,11.746886072708653
1992,11.436568718329006
1993,10.691946812596006
1994,11.58440341781874
1995,11.46601900921659
1996,11.039904430849091
1997,11.214980222734255
1998,12.34183544546851
1999,12.144714093701998
2000,11.803903164009393
2001,12.043392601126472
2002,11.773899449564773
2003,11.803152137736816
2004,11.711268106538128
2005,12.011571108550948
2006,12.35232072452637
2007,12.021570148489504
2008,11.266229267086887
2009,11.318700972862262
2010,11.652648041474654
2011,11.760037762416793
2012,12.92674551971326
2013,11.340268305171533
2014,11.40280497951869
2015,12.434297043010753
2016,12.72137195649487
2017,12.519713069636458
2018,11.949978622631848
2019,11.47571422171019
2020,12.411491997280931
2021,12.499377432155656
2022,11.867895865335383
2023,12.44312826420891
2024,13.067206154987021
2025,11.817696291419793
